dataset,repeat,system,reference,poses,overlap_s,path_m,trans_rmse_m,trans_max_m,trans_final_m,rot_rmse_deg,rot_max_deg,clean_rmse_m,jumps,mean_speed_m_s,rpe1_pairs,rpe1_trans_rmse_m,rpe1_trans_median_m,rpe1_rot_rmse_deg,rpe1_rot_median_deg,rpe1_pairs_clean,rpe1_trans_rmse_clean_m,rpe1_rot_rmse_clean_deg
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion,rosbag /ground_truth/odometry,2224,73.359,10355.484309444684,1724.9429115895337,4608.917691650766,4608.917691650766,175.11529757242246,179.99930415352713,2.5508854870674726,1995,141.16174306417324,2193,125.06608245383114,37.32084175160464,6.320088322409796,2.128439415633186,83,4.605326618158125,10.881080593001768
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3,rosbag /ground_truth/odometry,1840,73.65599999999999,8378.487670825587,2311.297200850477,6271.8395021964,6271.8395021964,23.132096529518158,50.89746899193968,1.449093579649958,1098,113.75159757284658,1749,160.76422183690116,42.861435987112586,13.39260530673817,1.1929851283380484,324,2.03551846649437,1.3273630508576792
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2224,73.359,12833.255738110798,1457.8949580400445,3986.4422133082694,3986.4422133082694,59.6476954699901,78.24004344189399,2.0302561555928684,1997,174.93771368353984,2193,111.1378634287325,27.92450095364176,6.691714883898549,2.179827389140574,38,4.520478666178426,3.1751406343043245
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,916,73.65599999999999,2220.18096330604,558.7556494438687,1635.3793884179775,1634.4253651773993,112.79952266465125,124.36561876982252,2.8219185077163,378,30.142567656484747,862,36.884134982549845,2.4362600153065106,14.093422106722958,0.5889486259021222,401,2.5344633056080514,0.7964240823229136
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion,rosbag /ground_truth/odometry,2552,84.183,3319.5339747600583,904.9350168256982,2260.418752721549,2260.418752721549,53.27086199001535,54.410316903714936,7.290844794274128,1608,39.43235540144754,2521,52.78026537997063,29.33941095785622,2.036503632942223,0.4262036177368982,839,2.7877082009000254,3.399836654392905
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3,rosbag /ground_truth/odometry,1461,84.48,1151.8221594053541,98.8803146721091,412.47205075636435,87.26075435813446,169.07094761231338,176.53086014310176,4.049748820353386,239,13.634258515688376,1369,9.059245978365958,2.061613147392207,19.35050059599718,2.674294768113401,608,2.151405519436843,3.085945809272534
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2552,84.183,2630.115827774718,698.1520913272034,1757.3765627186208,1757.3765627186208,52.04604595298959,53.45105475005549,8.673767528495762,1545,31.242837957482127,2521,41.947424297201664,22.348271297436312,1.946992647153201,0.4227309986495699,928,2.959351848130525,3.1113016048049342
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,1315,84.414,301.2997926514406,8.204134302560224,32.031501288185495,14.731677711249334,102.25365376888519,179.94013443032267,0.26023120228782365,44,3.569310690779262,1244,2.434753049835325,0.3406572435651526,22.698361302628197,0.7115494995997876,1022,1.5699574287678464,8.16741400049171
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,VINS-Fusion,rosbag /ground_truth/odometry,2552,84.183,3144.769156047446,851.8980243833436,2126.581605659408,2126.581605659408,53.81605916037118,55.031120754411994,7.548736205955817,1596,37.35634458319905,2521,49.88378691449889,27.54536912778311,2.0654933530736166,0.4246940846462816,851,2.8296226029949074,3.3889431562225543
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,ORB-SLAM3,rosbag /ground_truth/odometry,1557,84.447,1218.9629876529752,115.45087022388272,453.1350569535551,84.28402956457919,172.40950790461116,179.99379332460344,2.281691683819934,327,14.434651173552348,1445,11.343970822985366,2.091651007590612,19.260085837362084,2.9851573889160723,819,2.189032845943401,3.2845722223456066
