system,dataset,repeat,poses,jumps,jump_fraction,first_jump_s,last_jump_s,largest_step_m,largest_implied_speed_m_s,longest_clean_duration_s,inertial_transition_s,first_jump_minus_inertial_s,ate_rmse_m,clean_ate_rmse_m,global_to_clean_ratio,yolo_rows,matched_detection_rows,positive_box_rows,nonzero_coverage_rows,matched_fraction,positive_box_fraction,matched_age_median_ms,matched_age_p95_ms,summary_schema_status,failure_detection_enabled
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_02,1173,0,0.0,,,0.3017796914969588,2.702493899759333,89.1,,,0.35698658002883615,0.35698658002883615,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_03,1074,0,0.0,,,0.3968900236841441,1.8008941254431818,89.1,,,0.3419764934925042,0.3419764934925042,1.0,0,0,0,0,,,,,complete,0
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,1105,109,0.09873188405797101,6.203999999999997,77.253,10.810949932239998,139.27636685811413,6.203999999999997,2.6729999999999983,3.530999999999999,45.20595063042883,1.314009351142653,34.403066151027055,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,1043,512,0.491362763915547,4.521000000000001,77.22,129.28348430605857,703.1858529429363,6.435000000000002,2.7719999999999985,1.7490000000000023,857.9510409009903,0.8427773860368246,1018.0043450566703,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,1092,610,0.5591200733272227,2.607000000000003,77.286,1312.9656938108699,452.16392692264725,10.394999999999996,2.607000000000003,0.0,3364.3439889902893,1.39798179269989,2406.572107418373,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,1919,1150,0.5995828988529719,2.4419999999999997,73.62299999999999,946.5330761265897,1325.3584793071993,6.402000000000001,2.475,-0.03300000000000036,3002.5679419993317,1.2603206185428357,2382.384210670819,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,1882,1141,0.6065922381711856,2.574,73.557,712.1239005307722,1229.963687878322,3.267000000000003,2.607,-0.03300000000000036,2669.7291507735267,1.087410858394324,2455.124601859927,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,1840,1098,0.5970636215334421,2.4090000000000003,73.62299999999999,600.564467357229,1023.6327142113901,4.388999999999999,2.4419999999999997,-0.032999999999999474,2311.297200850477,1.449093579649958,1594.9951288920847,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,1461,239,0.1636986301369863,2.112,80.982,452.6876495645406,647.4534899448347,7.424999999999997,2.442,-0.33000000000000007,98.8803146721091,4.049748820353386,24.416406809022952,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,1557,327,0.2101542416452442,2.112,78.804,504.4456196103392,335.1600860608695,11.748000000000001,2.442,-0.33000000000000007,115.45087022388272,2.281691683819934,50.59880396750127,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,1700,456,0.26839317245438493,2.112,82.764,554.2877470632181,355.22002486487753,6.666,2.508000000000001,-0.3960000000000008,107.60276708848566,0.6367590291458669,168.98506682005186,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,2306,388,0.1683297180043384,2.4419999999999984,89.265,12.462938607078184,158.94962880527612,12.738,2.508000000000001,-0.0660000000000025,37.834051065195595,2.085163812688155,18.144402293468076,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,2040,689,0.3379107405590976,2.507999999999999,88.539,1097.8197535180202,410.036431671026,12.606000000000002,2.5410000000000004,-0.03300000000000125,265.50068372167704,2.173343883660901,122.16229825279788,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,1999,408,0.2042042042042042,1.1219999999999999,87.978,189.08807542300997,946.5591676000022,12.606000000000002,2.507999999999999,-1.3859999999999992,42.368834952216304,1.7197888613880195,24.636067777541577,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,1152,1,0.0008688097306689834,2.7720000000000002,2.7720000000000002,1.48115390496734,22.44172583283884,83.655,2.837999999999999,-0.06599999999999895,0.5760083272960519,0.5501670046966649,1.0469699607188088,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,980,1,0.0010214504596527069,2.6729999999999983,2.6729999999999983,1.4799160810329715,18.839723034763622,83.78699999999999,2.7390000000000008,-0.0660000000000025,0.7938399629228461,0.7677932657288413,1.033924102172581,0,0,0,0,,,,,incomplete,
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,1194,2,0.0016764459346186086,2.607000000000001,36.234,1.3968150344265333,18.106728547335077,50.226,2.673,-0.06599999999999895,1.200769217442442,0.3006141987435718,3.9943862347856536,0,0,0,0,,,,,incomplete,
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,1008,2,0.0019860973187686196,2.8049999999999997,5.544000000000004,3.316770373284831,50.25409656491978,76.26299999999999,2.871000000000002,-0.0660000000000025,0.45353708342947957,0.2742283833272482,1.6538663063489487,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,1007,2,0.0019880715705765406,2.6069999999999993,32.637,2.869708385899167,21.740215044691006,49.20299999999999,2.738999999999997,-0.1319999999999979,0.45252545329252425,0.21197996038696526,2.1347558159103714,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,963,1,0.0010395010395010396,2.9039999999999964,2.9039999999999964,3.452596544645783,52.31206885826746,78.90299999999999,2.969999999999999,-0.0660000000000025,0.384311517882762,0.26180587347881223,1.4679255005860825,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,1688,1,0.0005927682276229994,2.540999999999997,2.540999999999997,0.8296118495416998,12.569876508207095,86.69099999999999,2.6069999999999993,-0.0660000000000025,0.41894199180475056,0.3907837282487838,1.072055875207886,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,1517,1,0.0006596306068601583,2.573999999999998,2.573999999999998,0.7857071976888083,11.904654510436037,86.72399999999999,2.6400000000000006,-0.0660000000000025,0.45696256304013266,0.425524641389885,1.0738803786957258,0,0,0,0,,,,,complete,
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,1454,1,0.0006882312456985547,2.573999999999998,2.573999999999998,0.7420386998667927,11.243010604041888,86.75699999999999,2.6400000000000006,-0.0660000000000025,0.3604011594652239,0.3410655493801833,1.0566917711864452,0,0,0,0,,,,,complete,
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,2175,1122,0.516099356025759,3.8939999999999984,77.02199999999999,41.2029104661479,1248.573044428677,14.519999999999996,,,392.54612087870703,5.743479175811598,68.34639925776996,2186,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,2233,1183,0.5300179211469535,3.8939999999999984,77.02199999999999,49.45110437416542,1498.5183143685922,17.192999999999998,,,466.7207757553963,4.39124211170298,106.2844552596067,2244,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,2057,991,0.48200389105058367,3.860999999999997,77.02199999999999,8.420692444644867,220.6611172685215,15.939,,,318.6588788575602,6.067903094457473,52.515485810679586,2068,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,2224,1805,0.811965811965812,0.13200000000000012,73.326,81.92694771817332,2482.6347793384916,3.9269999999999996,,,2309.9297256738,2.040272648730461,1132.1671773187422,2235,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,2224,1810,0.8142150247413406,0.13200000000000012,73.326,66.21689880347611,2006.5726910143517,3.6630000000000003,,,2129.9684479452726,1.5144573632576666,1406.4235148645016,2235,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,2224,1997,0.8983355825461089,0.13200000000000012,73.326,65.57635927099409,1987.1624021512607,2.244,,,1457.8949580400445,2.0302561555928684,718.08424470178,2235,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,2552,1545,0.6056448451587613,14.684999999999999,84.15,5.326636344110681,161.4132225488024,17.919000000000004,,,698.1520913272034,8.673767528495762,80.4900625977786,2563,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,2552,1582,0.6201489611916895,14.751000000000001,84.15,6.8574763520480975,207.8023136984193,16.665,,,796.0341328681409,7.766224136489474,102.49950540675073,2563,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,2552,1574,0.6170129361034888,14.652000000000001,84.15,5.810614304899258,176.0792213605769,16.994999999999997,,,779.0988236989133,7.794245151900714,99.95821385075645,2563,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,2679,2610,0.9746079163554892,1.8809999999999985,88.341,196.63736482920768,5958.70802512728,1.8809999999999985,,,4518.76700592957,2.091830778580379,2160.1972072503067,2690,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,2701,62,0.022962962962962963,1.5509999999999984,12.341999999999999,1.9824596162847805,60.07453382680925,76.725,,,11.85404068844727,7.55463231918007,1.5691088841414098,2712,0,0,0,0.0,0.0,,,complete,0
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,1733,66,0.03810623556581986,1.5509999999999984,15.344999999999999,1.7427314256362052,52.81004320109513,73.722,,,12.552130763093338,6.290859683828531,1.9952965721617055,1744,0,0,0,0.0,0.0,,,complete,0
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,943,37,0.03927813163481953,2.6069999999999993,77.088,5.125519065011853,84.78109226039912,28.446000000000005,2.6400000000000006,-0.03300000000000125,13.8390731589143,1.3097206884764123,10.566430904449698,1629,597,596,596,0.3664825046040516,0.36586863106200124,99.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,528,213,0.40417457305502846,10.197000000000003,77.088,349.68750076976704,331.49720215746476,19.997999999999998,2.738999999999997,7.4580000000000055,892.3065832411985,2.4464027541680604,364.74230652370323,1342,25,25,25,0.018628912071535022,0.018628912071535022,99.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,570,119,0.20913884007029876,4.817999999999998,76.032,408.9377961059224,101.4664621624907,11.286000000000001,2.706000000000003,2.1119999999999948,81.196491399007,4.331638403906344,18.74498372850851,1465,20,20,20,0.013651877133105802,0.013651877133105802,66.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,1930,1159,0.60082944530845,2.442,73.59,292.5572302964208,381.6282990877832,9.834,2.4750000000000005,-0.03300000000000036,2885.7744873738825,1.4157387074935914,2038.3524672309247,2095,2091,2079,2079,0.9980906921241051,0.99236276849642,33.0,33.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,1139,454,0.3989455184534271,2.409,73.491,30.12592149022665,133.1011162356408,12.837,2.442,-0.03300000000000036,553.3459066430081,1.9817049106702571,279.2271965738098,1619,1173,1164,1164,0.7245213094502779,0.7189623224212477,33.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,916,378,0.4131147540983607,2.4419999999999997,73.58999999999999,87.025809486411,334.1217657246164,9.735000000000001,2.5080000000000005,-0.06600000000000072,558.7556494438687,2.8219185077163,198.00559368245334,1572,735,731,731,0.4675572519083969,0.46501272264631044,66.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,1315,44,0.0334855403348554,2.408999999999999,83.589,14.896404827142018,451.40620688307433,19.272,2.442,-0.03300000000000125,8.204134302560224,0.26023120228782365,31.526328243629298,1955,1573,1285,1285,0.8046035805626598,0.6572890025575447,33.0,99.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,993,26,0.02620967741935484,2.3759999999999994,78.672,91.04010426342228,147.90425880096552,14.784,2.4090000000000007,-0.03300000000000125,14.780953460409902,0.4149421283197778,35.62172276953972,1760,1026,838,838,0.5829545454545455,0.47613636363636364,33.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,747,203,0.27211796246648795,2.4750000000000014,81.807,4676.9226596451335,650.114353578695,13.398000000000001,2.5410000000000004,-0.06599999999999895,749.1621201621956,0.4518214548915076,1658.0932845300276,1610,609,487,487,0.3782608695652174,0.3024844720496894,66.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,828,231,0.279322853688029,2.442,89.19900000000001,5122.459376428442,887.0059526283007,14.520000000000003,2.507999999999999,-0.06599999999999895,1097.9450070000453,0.5400120141655345,2033.1862591921574,1724,530,387,387,0.3074245939675174,0.22447795823665892,66.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,823,219,0.2664233576642336,2.442,87.78,3486.7798726326387,414.3529260407173,13.398,2.507999999999999,-0.06599999999999895,737.271940856305,0.8066962335029338,913.9399816642675,1770,604,459,459,0.34124293785310733,0.2593220338983051,66.0,132.0,complete,
ORB-SLAM3+YOLO,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,884,31,0.035107587768969425,2.442,88.374,92.09053797686927,88.31838511156002,12.705000000000002,2.507999999999999,-0.06599999999999895,15.812252852946662,0.5901882311427181,26.791880994189082,1929,723,603,603,0.374805598755832,0.31259720062208396,66.0,132.0,complete,
