dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion+YOLO,5.0,2072,694.268116301126,340.5387875882581,11.288492841337955,4.512985677211844,0,nan,nan,nan,nan
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3+YOLO,0.5,1074,19.961789267911502,1.0475018029687342,10.661644629870338,0.34286628889460763,596,1.2129465826480974,0.2653117026758872,0.4644974407349594,0.23744486860513517
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3+YOLO,1.0,1092,39.46302732668702,2.6752000094723236,14.690676664190356,0.5566993437944672,553,2.172109674746614,0.5032353219771432,0.7123755099712716,0.3419033428085062
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3+YOLO,2.0,1078,76.84488204288134,5.4305832611636,20.565197156569866,1.0713144796382026,472,3.3310254597293882,1.0075025530792368,1.1795254217329767,0.46267189062366987
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3+YOLO,5.0,1069,184.68339165871788,14.996469544323695,23.42365233311526,2.932045207380237,329,3.8596534642254614,2.5355064486784205,1.6957655512458996,0.7159759617970491
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion,0.5,2208,65.2507807471238,20.574796670715855,4.7883773120208755,1.3423053388154338,113,2.4862867598356413,2.352696154819383,6.920709382022979,5.630850493952721
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion,1.0,2193,125.06608245383114,37.32084175160464,6.320088322409796,2.128439415633186,83,4.605326618158125,4.485647320839384,10.881080593001768,12.46355004569122
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion,2.0,2163,242.90713729178768,72.46181231268524,8.15782577497378,2.7540866771799988,23,9.019340107251608,9.161852268363972,18.586065214218817,20.193940732695516
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion,5.0,2072,591.5636098648207,174.20459962439492,12.463017292529972,4.132783469047761,0,nan,nan,nan,nan
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3,0.5,1778,84.27881668792273,25.65818294850077,9.603571599846212,0.6075161043705357,479,1.0888922489476613,1.0221015775468607,0.7897254432932088,0.31173652581948147
