dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion+YOLO,0.5,2217,15.68867079090337,6.355548451623386,1.5299603349854958,0.16905136348710087,922,2.2855147292387232,1.4834021700527034,1.3501912777412612,0.3698727962572902
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion+YOLO,1.0,2202,30.07996601727583,12.322250281844992,2.228436493007348,0.31044411001821215,850,4.4175044538922466,3.0985901701830567,2.18531530528804,0.6788798088410375
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion+YOLO,2.0,2172,58.81307620030796,24.227612566767572,3.018042197336971,0.5404807828839214,719,8.651744507499137,6.399710816867988,3.3595668339272917,1.2037456328092624
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion+YOLO,5.0,2081,144.4900465921676,59.61091886315238,4.050818554618419,1.0735044344815297,464,18.80158086487992,8.43766704704734,3.4020902220138,2.8080246981370567
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3+YOLO,0.5,383,28.40479083109073,0.7332432451229466,11.36543618610309,0.3700932550650836,242,0.9868692661098852,0.34768150031155015,14.288985856103372,0.30144228172965615
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3+YOLO,1.0,481,57.16402505139527,1.345847428713452,13.823132049317243,0.6311548053969614,285,1.7677130718389298,0.5910163798830038,17.933240545132094,0.5242726153084559
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3+YOLO,2.0,470,105.45869340803586,1.9626164924225864,21.46872697614511,1.1845589820102411,262,2.9938662043101063,1.1537123770142288,28.719717161288315,1.1173465923560473
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3+YOLO,5.0,448,249.1499080933517,6.149033814511361,27.212007337830933,2.45268529398951,188,5.77172073852354,2.733155865576241,41.48094726022636,2.258174930467473
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion,0.5,1124,10.327993958566804,3.6989048024527387,1.1230766791584332,0.14310013938566174,539,1.943253277329224,0.4703981911236031,1.271563371581157,0.1462506632561292
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion,1.0,1153,19.354339718343248,7.150834408092193,1.722906741523881,0.25109620902882407,524,3.5945627463997236,0.43253401703113836,2.1308644163643407,0.2533865088132018
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion,2.0,1123,37.20222007637948,13.083591166303526,2.5811179662576054,0.44747932470189494,466,6.731370961634847,0.342957138853873,3.4510580626955183,0.38735294486544447
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion,5.0,1060,92.04349156716093,29.513917194458443,3.853796658697698,0.9913424851904624,347,12.59390555459313,0.42218078993809943,2.301160537897525,1.0176548547043651
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3,0.5,1044,117.19193601399735,25.330144357903777,14.7759018138611,0.4087104112244113,377,0.8594074004456854,0.3543267778692803,4.6714612770426935,0.2693148127060317
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3,1.0,1031,222.28124786265292,39.26780294204733,17.531895770517785,0.6752599830938468,304,0.9720874921566561,0.6199847490453476,5.2095766683222715,0.41698962014052054
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3,2.0,988,428.2426540461957,38.84984145539498,23.801348114984815,1.1481797432992789,197,1.6318744627018082,1.1904501728502215,6.471633591480441,0.5902049345838457
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3,5.0,937,1028.5329901778584,87.02758395396177,31.73516443973253,2.613849790145689,74,2.5135005859779116,2.596396762821689,1.041358856107308,1.0408059977607613
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion+YOLO,0.5,2041,10.688556948138196,3.5248430776150355,1.7967323195197185,0.20333563398602483,898,2.3838525274250553,1.9449240937476415,1.3488296748085664,0.5119770348640407
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion+YOLO,1.0,2026,20.515037171211777,6.838750519202287,2.562863684546921,0.3773322709126822,804,4.661343586984852,3.766322628683943,2.2724458974110022,0.980589728040621
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion+YOLO,2.0,1996,40.01523789149515,13.369375922121066,3.3786255802833876,0.6651744920891667,666,9.168152742225587,7.777552394510869,3.849764470970308,1.8775457163750309
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion+YOLO,5.0,1910,98.02998395616297,33.13646820944851,4.341306743669272,1.129855081743648,371,21.402907796701932,20.864034683794845,5.629853961143951,3.7454324937825856
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3+YOLO,0.5,442,6.730658221563684,1.4361663467317336,14.408222553372445,0.48655866271040776,291,1.6893884590183876,0.9220946589416056,15.053517829429197,0.4557781284903489
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3+YOLO,1.0,527,13.164991932647489,2.694471438317138,23.931580639770416,0.9185059306108808,287,3.1617115721082407,1.6279849237877424,26.937211369564466,0.7650518286678295
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3+YOLO,2.0,531,24.980090999450507,4.786724951660883,30.68239838045096,1.694617614000613,212,5.59657697894373,2.640644675892828,42.66821253151928,1.7317008413873531
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3+YOLO,5.0,511,68.89055689335146,9.697384988578195,38.27329672720225,3.9921338083867126,96,12.356397663631231,6.64667908173292,41.3217137594326,5.994638617282131
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion,0.5,2208,36.64593854938016,20.804849750872776,3.4724484302591705,0.7196344650537655,659,1.3265603797477592,0.11178108091460356,2.378074539426376,0.451237953566171
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion,1.0,2193,69.58030900669087,40.5175340437797,4.618282493105191,1.1154643361608028,578,2.2904613293955336,0.16230040334490387,3.478286257483576,0.7725035011286211
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion,2.0,2163,135.13641783422668,81.92296767065599,6.314474784960574,1.85206422057585,441,3.090545224862066,0.2747216082902665,4.448618078273841,1.2265251955069472
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion,5.0,2072,329.90164569783974,202.05900959821417,8.955396789315971,4.547790789891323,267,3.0976716526423096,0.42565579687862587,4.859018171714068,1.7310254849319229
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3,0.5,1866,110.23166225591542,36.748741822857305,9.266114479401997,0.6129326899227594,585,1.1374364937725365,0.9825185073675393,0.8463692022664914,0.45309206835249544
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3,1.0,1830,211.05336675366067,62.356763745591124,13.858017139880538,1.1324297788805011,468,1.9968629848173576,1.7835975178066596,1.4436260309667321,0.8726165581867873
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3,2.0,1794,402.81016900561264,120.59689539784975,19.957946196235486,2.265838576217268,275,3.380007237726002,3.0920260123472043,2.7193828978991306,2.5234918823921477
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3,5.0,1785,1036.1156988985426,371.38718967908744,25.981390027144744,5.643028309181409,37,4.2578516868007865,3.007821214723164,5.489052835337825,5.462765173780796
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion+YOLO,0.5,2208,82.78461822462488,41.62163857291267,6.1223629085074,1.241773626878853,167,2.194223383119949,2.0861225011247106,3.7197177113117657,1.2289612422825054
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion+YOLO,1.0,2193,159.0611030760784,81.54300498783441,7.813883284448975,2.1237653797175695,128,3.6987829581357103,3.432721874893942,2.331262897002312,1.7563772537865512
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion+YOLO,2.0,2163,310.281057420753,160.65778520748827,9.506022720986241,3.195373591029537,68,5.121813794428934,4.240911891474875,2.4694417069152883,2.172268661180614
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion+YOLO,5.0,2072,761.8127617399026,394.5803276981061,12.895913187610347,6.439352562390539,0,nan,nan,nan,nan
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3+YOLO,0.5,1888,107.91792583592581,48.162888491157155,9.062285695135996,0.7429640599535867,669,0.7371415368838142,0.48796581880657813,0.36877222901712875,0.15516445468123494
