tree,system,dataset,repeat,status,treatment_status,shutdown,initialized,initialization_evidence,summary_schema_status,sensor_duration_s,input_frames,processed_frames,dropped_frames,processed_fraction_pct,throughput_hz,poses,pose_rate_hz,initialization_s,tracking_losses_or_resets,tracking_loss_duration_s,keyframes,loop_closures,map_merges,cpu_avg_pct_one_core,memory_median_mb,memory_peak_mb,replay_rate,detection_frames_matched,detection_frames_missed,masks_rejected,dynamic_points_dropped
output_vins,VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,86.658,1185.0,1185.0,0.0,100.0,13.674444367513674,1174.0,13.547508597013547,0.33,0.0,0.0,nan,0.0,0.0,732.7541658021837,945.40625,1044.32421875,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,86.658,1078.0,1078.0,0.0,100.0,12.43970550901244,1067.0,12.312769738512312,0.33,0.0,0.0,nan,0.0,0.0,716.9567238869986,971.697265625,1063.390625,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,86.658,1079.0,1079.0,0.0,100.0,12.45124512451245,1068.0,12.324309354012325,0.33,0.0,0.0,nan,0.0,0.0,724.7289497322024,982.0859375,1104.8984375,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,81.939,1004.0,1004.0,0.0,100.0,12.253017488619584,993.0,12.118771281074947,0.33,0.0,0.0,nan,0.0,0.0,769.0585086703088,973.787109375,1096.19140625,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,81.939,957.0,957.0,0.0,100.0,11.679420056383409,946.0,11.545173848838772,0.33,0.0,0.0,nan,0.0,0.0,765.3873044121009,975.0078125,1106.46875,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,81.939,904.0,904.0,0.0,100.0,11.032597420031976,893.0,10.89835121248734,0.33,0.0,0.0,nan,0.0,0.0,782.6920768502307,965.990234375,1095.51953125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,89.463,1234.0,1234.0,0.0,100.0,13.793411801526888,1223.0,13.670455942680215,0.363,0.0,0.0,nan,0.0,0.0,762.2077307969811,949.84375,1081.53125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,89.463,1184.0,1184.0,0.0,100.0,13.234521534042008,1173.0,13.111565675195333,0.33,0.0,0.0,nan,0.0,0.0,764.4070294580165,976.3515625,1103.453125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,89.463,1085.0,1085.0,0.0,100.0,12.12791880442194,1074.0,12.004962945575267,0.33,0.0,0.0,nan,0.0,0.0,782.5153071744095,982.95703125,1084.671875,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,77.352,1809.0,1162.0,647.0,64.23438363736871,15.022236011997103,1105.0,14.285344916744233,0.066,9.0,3.564,338.0,0.0,0.0,428.0888835916816,930.07421875,1111.58203125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,77.352,1839.0,1245.0,594.0,67.69983686786297,16.095252869996898,1043.0,13.48381425173234,0.066,15.0,10.593,337.0,0.0,0.0,426.8007196559763,940.6171875,1110.11328125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,77.385,1852.0,1256.0,596.0,67.81857451403887,16.230535633520706,1092.0,14.111261872455902,0.033,5.0,7.887,320.0,0.0,0.0,430.078368443655,948.92578125,1092.55078125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,73.689,2066.0,2043.0,23.0,98.88673765730881,27.724626470707978,1919.0,26.04187870645551,0.033,5.0,4.554,598.0,0.0,0.0,367.72709951032834,1046.2734375,1312.14453125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,73.623,2042.0,2001.0,41.0,97.99216454456415,27.179006560449857,1882.0,25.562663841462584,0.033,3.0,4.092,563.0,0.0,0.0,377.57051924873895,1024.92578125,1290.01171875,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,73.689,2056.0,2019.0,37.0,98.20038910505836,27.39893335504621,1840.0,24.969805534068858,0.033,5.0,6.204,546.0,0.0,0.0,384.56658236831004,1022.28125,1275.06640625,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,84.513,2250.0,2099.0,151.0,93.28888888888889,24.83641569935986,1461.0,17.28728124667211,0.033,20.0,23.232,413.0,0.0,0.0,358.7560067061804,1015.28125,1174.25390625,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,84.48,2237.0,2096.0,141.0,93.69691551184623,24.81060606060606,1557.0,18.430397727272727,0.033,12.0,19.14,450.0,0.0,0.0,361.13149343706124,1060.52734375,1222.4375,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,84.513,2252.0,2133.0,119.0,94.7158081705151,25.23872067019275,1700.0,20.11524854164448,0.033,13.0,15.741,519.0,0.0,0.0,360.8376775405858,1080.67578125,1264.046875,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,89.43,2465.0,2417.0,48.0,98.052738336714,27.02672481270267,2306.0,25.785530582578552,0.099,1.0,3.762,604.0,0.0,0.0,360.65981320484997,1066.65625,1297.20703125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,89.43,2397.0,2267.0,130.0,94.57655402586566,25.34943531253494,2040.0,22.811137202281113,0.033,4.0,8.052,553.0,0.0,0.0,380.16632164101185,1068.29296875,1283.7421875,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,89.43,2362.0,2207.0,155.0,93.43776460626587,24.67851951246785,1999.0,22.352678072235268,0.033,1.0,7.392,535.0,0.0,1.0,386.26456115228746,1036.09375,1279.546875,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,86.592,2035.0,1173.0,862.0,57.64127764127764,13.54628603104213,1152.0,13.303769401330378,0.099,6.0,0.825,219.0,0.0,0.0,439.87499838867876,919.640625,1009.63671875,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,valid,baseline,graceful,1,performance_fallback,incomplete,86.592,2051.0,1269.0,782.0,61.872257435397366,14.654933481152993,1242.0,14.343126385809313,0.033,2.0,1.155,209.0,0.0,0.0,435.1600416257798,908.1796875,996.65234375,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,valid,baseline,graceful,1,performance_fallback,incomplete,86.625,2011.0,1221.0,790.0,60.71606166086524,14.095238095238095,1196.0,13.806637806637807,0.033,1.0,1.023,228.0,0.0,0.0,443.5764398399046,923.505859375,1022.4140625,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,81.906,1921.0,1009.0,912.0,52.52472670484123,12.31899982907235,1008.0,12.3067907113032,0.066,0.0,0.0,191.0,0.0,0.0,442.1286025235838,911.55078125,1012.05859375,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,81.906,1921.0,1008.0,913.0,52.47267048412285,12.3067907113032,1007.0,12.294581593534051,0.033,0.0,0.0,200.0,0.0,0.0,442.94500255266183,905.115234375,1009.70703125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,81.906,1951.0,964.0,987.0,49.41055868785239,11.7695895294606,963.0,11.75738041169145,0.033,0.0,0.0,182.0,0.0,0.0,441.15273640186354,908.353515625,1004.0234375,0.5,0.0,0.0,0.0,0.0
