system,dataset,repeat,module,events,median_ms,iqr_ms,p95_ms,max_ms
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,tracking_total_ms,2096,61.034000000000006,26.988749999999996,96.49449999999999,215.043
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,feature_stereo_ms,2096,44.751000000000005,18.591749999999998,70.451,190.975
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,local_mapping_total_ms,445,172.287,195.839,445.13819999999987,3688.327
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,local_BA_ms,445,109.386,148.934,330.10939999999994,433.256
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,place_recognition_ms,444,4.5831655,28.2297635,53.46895029999995,93.388636
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,tracking_total_ms,2133,59.288,25.126999999999995,93.46379999999996,185.947
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,feature_stereo_ms,2133,43.754,17.001000000000005,69.35619999999999,159.995
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,local_mapping_total_ms,515,152.188,146.14049999999997,416.58899999999994,3989.253
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,local_BA_ms,515,88.59,112.73100000000001,299.27419999999995,479.16
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,place_recognition_ms,514,2.4440109999999997,24.79260675,44.88821654999999,73.706317
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,tracking_total_ms,2417,51.556,14.981000000000002,75.63159999999998,173.928
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,feature_stereo_ms,2417,35.562,11.95,55.218599999999995,140.835
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,local_mapping_total_ms,602,173.911,112.84049999999996,382.6075499999999,2592.892
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,local_BA_ms,602,118.02850000000001,82.97000000000001,287.1982499999999,385.594
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,place_recognition_ms,602,23.107638,35.942706750000006,53.23879989999997,95.465731
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,tracking_total_ms,2267,60.007,22.61,91.27069999999996,190.148
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,feature_stereo_ms,2267,43.12,16.103,67.25519999999997,154.329
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,local_mapping_total_ms,549,192.683,166.71499999999997,468.17080000000004,2502.27
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,local_BA_ms,549,126.165,127.609,358.0442,469.55
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,place_recognition_ms,548,15.0735965,34.70275225,55.74084234999999,82.72461
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,tracking_total_ms,2207,63.293,23.578500000000005,94.60799999999998,233.047
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,feature_stereo_ms,2207,45.76,15.927500000000002,69.2315,199.644
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,local_mapping_total_ms,531,190.35,142.31,471.74199999999996,4231.571
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,local_BA_ms,531,122.74,112.8545,358.179,518.893
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,place_recognition_ms,532,15.7031955,35.67629725,58.9736129,554.730182
